"accident_index","longitude","latitude","severity","number_of_casualties","district","speed_limit","road_class","police_force"
"2023010419316","0.011947","51.595804","Slight","1","Waltham Forest","30","A","1"
"2023010419323","-0.067242","51.457382","Serious","1","Southwark","20","Unclassified","1"
"2023010419324","-0.167511","51.529655","Slight","1","Westminster","20","Unclassified","1"
"2023010419329","-0.264522","51.565328","Slight","1","Brent","30","Unclassified","1"
"2023010419333","-0.167085","51.428923","Slight","1","Wandsworth","30","Not at junction or within 20 metres","1"
"2023010419335","-0.210802","51.518723","Slight","1","Kensington and Chelsea","20","Unclassified","1"
"2023010419336","0.129093","51.416641","Slight","1","Bexley","40","Not at junction or within 20 metres","1"
"2023010419338","-0.375798","51.51089","Slight","1","Ealing","20","A","1"
"2023010419340","-0.255299","51.494889","Slight","1","Hounslow","20","Not at junction or within 20 metres","1"
"2023010419343","0.202925","51.545612","Slight","1","Havering","30","C","1"
"2023010419349","-0.117292","51.587751","Slight","2","Haringey","20","Unclassified","1"
"2023010419352","-0.311814","51.562709","Slight","1","Brent","30","A","1"
"2023010419373","-0.255994","51.621511","Slight","1","Barnet","30","A","1"
"2023010419376","-0.378319","51.507256","Slight","1","Ealing","20","C","1"
"2023010419379","-0.292161","51.556633","Slight","2","Brent","20","Not at junction or within 20 metres","1"
"2023010419381","0.154097","51.438217","Slight","1","Bexley","30","Unclassified","1"
"2023010419383","0.120906","51.450432","Serious","2","Bexley","30","A","1"
"2023010419385","0.019754","51.548828","Slight","1","Newham","30","Unclassified","1"
"2023010419387","-0.041672","51.668058","Slight","1","Enfield","30","Unclassified","1"
"2023010419389","0.032131","51.522319","Slight","1","Newham","20","Not at junction or within 20 metres","1"
"2023010419391","-0.152921","51.543913","Serious","1","Camden","20","B","1"
"2023010419392","-0.043111","51.643721","Slight","1","Enfield","30","A","1"
"2023010419393","-0.383152","51.502225","Serious","2","Ealing","20","Unclassified","1"
"2023010419397","-0.181893","51.485294","Serious","1","Kensington and Chelsea","20","A","1"
"2023010419398","-0.177466","51.554377","Slight","1","Camden","20","Unclassified","1"
"2023010419400","-0.166168","51.458647","Slight","1","Wandsworth","20","Unclassified","1"
"2023010419402","-0.051242","51.619595","Slight","2","Enfield","30","Not at junction or within 20 metres","1"
"2023010419403","-0.098976","51.577978","Serious","1","Haringey","20","Not at junction or within 20 metres","1"
"2023010419404","0.129722","51.567386","Slight","1","Barking and Dagenham","30","Not at junction or within 20 metres","1"
"2023010419407","-0.125","51.53936","Slight","1","Camden","20","Not at junction or within 20 metres","1"
"2023010419411","-0.013605","51.529686","Slight","1","Tower Hamlets","20","A","1"
"2023010419412","-0.339389","51.608522","Slight","1","Harrow","30","Unclassified","1"
"2023010419418","-0.298612","51.510129","Slight","1","Ealing","20","Unclassified","1"
"2023010419419","-0.129717","51.488655","Slight","1","Westminster","30","A","1"
"2023010419429","-0.09185","51.421985","Slight","1","Lambeth","30","Unclassified","1"
"2023010419437","-0.017164","51.432778","Serious","1","Lewisham","30","Unclassified","1"
"2023010419438","-0.172271","51.482429","Slight","1","Kensington and Chelsea","20","Not at junction or within 20 metres","1"
"2023010419440","-0.444927","51.567992","Slight","1","Hillingdon","20","Unclassified","1"
"2023010419443","-0.193801","51.534577","Serious","1","Brent","20","C","1"
"2023010419447","0.055231","51.606304","Serious","1","Redbridge","30","A","1"
"2023010419457","-0.097683","51.357332","Slight","1","Croydon","20","Unclassified","1"
"2023010419463","-0.093829","51.476378","Slight","1","Southwark","30","Unclassified","1"
"2023010419480","-0.330178","51.455945","Slight","1","Richmond upon Thames","40","A","1"
"2023010419481","-0.106484","51.38216","Slight","1","Croydon","30","Unclassified","1"
"2023010419490","-0.165229","51.554142","Slight","1","Camden","20","C","1"
"2023010419494","-0.220291","51.561096","Slight","1","Brent","30","Unclassified","1"
"2023010419499","-0.186045","51.490628","Slight","1","Kensington and Chelsea","20","C","1"
"2023010419502","-0.06389","51.498144","Slight","1","Southwark","20","Not at junction or within 20 metres","1"
"2023010419503","-0.013197","51.635332","Slight","1","Waltham Forest","30","Unclassified","1"
"2023010419504","-0.093496","51.39453","Slight","1","Croydon","20","A","1"
"2023010419511","-0.290122","51.56253","Slight","1","Brent","30","A","1"
"2023010419514","-0.093703","51.428265","Slight","3","Lambeth","30","Unclassified","1"
"2023010419518","-0.058071","51.651487","Slight","1","Enfield","20","Unclassified","1"
"2023010419522","-0.150331","51.361089","Slight","1","Sutton","20","Unclassified","1"
"2023010419523","-0.262462","51.513367","Slight","1","Ealing","20","Not at junction or within 20 metres","1"
"2023010419525","-0.299886","51.509221","Slight","1","Ealing","20","Unclassified","1"
"2023010419526","-0.080931","51.403821","Slight","1","Croydon","30","B","1"
"2023010419528","-0.378777","51.470385","Slight","1","Hounslow","30","A","1"
"2023010419529","-0.354326","51.470872","Serious","1","Hounslow","30","Unclassified","1"
"2023010419532","-0.054394","51.446738","Slight","1","Lewisham","30","Unclassified","1"
"2023010419533","-0.300912","51.607081","Slight","1","Harrow","30","B","1"
"2023010419537","-0.097759","51.356551","Fatal","1","Croydon","30","Unclassified","1"
"2023010419543","-0.048148","51.623689","Slight","1","Enfield","20","B","1"
"2023010419544","-0.19531","51.539798","Slight","1","Camden","30","B","1"
"2023010419546","-0.238618","51.506438","Slight","1","Hammersmith and Fulham","20","Unclassified","1"
"2023010419547","-0.130961","51.464575","Serious","1","Lambeth","20","Unclassified","1"
"2023010419551","-0.09854","51.621953","Slight","1","Enfield","30","Not at junction or within 20 metres","1"
"2023010419552","-0.397604","51.475887","Slight","1","Hounslow","30","A","1"
"2023010419555","-0.10219","51.362981","Slight","1","Croydon","30","Unclassified","1"
"2023010419559","-0.267744","51.382749","Slight","1","Kingston upon Thames","20","Unclassified","1"
"2023010419565","-0.316227","51.601816","Slight","1","Harrow","30","Unclassified","1"
"2023010419575","-0.20849","51.551186","Slight","1","Camden","20","Unclassified","1"
"2023010419577","0.12437","51.414677","Slight","1","Bexley","30","Unclassified","1"
"2023010419579","-0.037956","51.646962","Slight","1","Enfield","20","Unclassified","1"
"2023010419585","0.069614","51.5583","Slight","2","Redbridge","30","Unclassified","1"
"2023010419586","-0.098101","51.439442","Slight","1","Lambeth","30","C","1"
"2023010419587","-0.252345","51.512614","Slight","1","Ealing","20","Unclassified","1"
"2023010419594","0.019461","51.54547","Slight","1","Newham","20","Not at junction or within 20 metres","1"
"2023010419599","-0.024125","51.444514","Slight","1","Lewisham","30","Unclassified","1"
"2023010419601","-0.02304","51.477625","Slight","1","Lewisham","20","A","1"
"2023010419604","-0.07011","51.54053","Serious","1","Hackney","20","C","1"
"2023010419605","0.107822","51.562818","Slight","1","Redbridge","30","Unclassified","1"
"2023010419606","-0.143073","51.547049","Slight","1","Camden","20","Unclassified","1"
"2023010419609","0.201172","51.538891","Slight","1","Havering","30","C","1"
"2023010419611","-0.12099","51.610768","Slight","1","Enfield","20","Unclassified","1"
"2023010419622","-0.184304","51.484054","Serious","1","Kensington and Chelsea","30","A","1"
"2023010419624","-0.041818","51.512921","Slight","1","Tower Hamlets","20","Unclassified","1"
"2023010419625","-0.284598","51.562476","Slight","1","Brent","30","Unclassified","1"
"2023010419642","0.116616","51.394682","Slight","2","Bromley","30","Not at junction or within 20 metres","1"
"2023010419645","0.03245","51.367449","Slight","4","Bromley","30","Not at junction or within 20 metres","1"
"2023010419649","0.166528","51.526011","Slight","1","Havering","30","Not at junction or within 20 metres","1"
"2023010419651","-0.026049","51.572961","Slight","1","Waltham Forest","20","Unclassified","1"
"2023010419657","-0.147678","51.410453","Slight","1","Merton","20","Unclassified","1"
"2023010419658","-0.133059","51.463601","Slight","1","Lambeth","20","Unclassified","1"
"2023010419665","-0.178648","51.362747","Slight","3","Sutton","30","Unclassified","1"
"2023010419667","-0.067382","51.518102","Slight","1","Tower Hamlets","20","Unclassified","1"
"2023010419671","-0.221654","51.608263","Serious","1","Barnet","30","Unclassified","1"
"2023010419672","-0.052804","51.490874","Serious","1","Southwark","20","Unclassified","1"
"2023010419676","-0.129337","51.414487","Slight","1","Lambeth","30","Unclassified","1"
"2023010419677","-0.298885","51.505898","Slight","1","Ealing","20","Unclassified","1"
"2023010419678","0.001447","51.62396","Slight","1","Waltham Forest","20","B","1"
"2023010419685","-0.103319","51.329033","Serious","1","Croydon","20","Not at junction or within 20 metres","1"
"2023010419687","-0.33713","51.513748","Slight","1","Ealing","20","Not at junction or within 20 metres","1"
"2023010419688","0.157234","51.539851","Slight","1","Barking and Dagenham","30","Unclassified","1"
"2023010419691","-0.39229","51.442318","Slight","1","Hounslow","30","Not at junction or within 20 metres","1"
"2023010419692","-0.09155","51.559909","Slight","2","Islington","20","Unclassified","1"
"2023010419703","0.018536","51.605682","Slight","2","Redbridge","30","A","1"
"2023010419706","-0.222844","51.391437","Slight","2","Merton","20","C","1"
"2023010419707","-0.13861","51.541547","Slight","1","Camden","30","A","1"
"2023010419709","-0.398282","51.553103","Slight","1","Hillingdon","20","Unclassified","1"
"2023010419710","-0.05878","51.659934","Slight","1","Enfield","40","C","1"
"2023010419711","0.032099","51.517392","Slight","2","Newham","30","A","1"
"2023010419713","0.036556","51.54396","Slight","1","Newham","30","Unclassified","1"
"2023010419714","-0.066335","51.467259","Slight","1","Southwark","20","Unclassified","1"
"2023010419716","-0.031514","51.679533","Slight","1","Enfield","30","Unclassified","1"
"2023010419718","-0.266494","51.506628","Serious","1","Ealing","20","Unclassified","1"
"2023010419720","-0.24826","51.497374","Slight","1","Hammersmith and Fulham","20","C","1"
"2023010419727","-0.063738","51.438484","Slight","1","Lewisham","20","C","1"
"2023010419729","-0.113127","51.504945","Slight","1","Lambeth","20","A","1"
"2023010419744","0.016452","51.401269","Serious","1","Bromley","30","Unclassified","1"
"2023010419750","0.258544","51.559959","Slight","1","Havering","30","Unclassified","1"
"2023010419754","-0.151542","51.506024","Slight","1","Westminster","20","C","1"
"2023010419757","-0.384051","51.476807","Slight","1","Hounslow","20","C","1"
"2023010419766","-0.122459","51.536973","Slight","1","Camden","20","B","1"
"2023010419770","-0.106985","51.548477","Slight","1","Islington","20","Unclassified","1"
"2023010419771","-0.479364","51.54608","Slight","1","Hillingdon","20","Unclassified","1"
"2023010419775","0.113791","51.61092","Slight","1","Redbridge","30","Unclassified","1"
"2023010419776","-0.28268","51.449405","Serious","1","Richmond upon Thames","20","Not at junction or within 20 metres","1"
"2023010419777","-0.117315","51.339871","Slight","1","Croydon","30","C","1"
"2023010419781","-0.131155","51.426683","Slight","1","Lambeth","30","Unclassified","1"
"2023010419783","-0.224669","51.535381","Slight","1","Brent","20","Unclassified","1"
"2023010419784","-0.104235","51.663473","Slight","1","Enfield","30","A","1"
"2023010419785","-0.175318","51.402802","Slight","1","Merton","20","Unclassified","1"
"2023010419786","-0.227944","51.547192","Slight","1","Brent","20","Unclassified","1"
"2023010419791","-0.198805","51.480097","Serious","1","Hammersmith and Fulham","20","B","1"
"2023010419792","-0.334016","51.57932","Serious","1","Harrow","20","Not at junction or within 20 metres","1"
"2023010419794","-0.093361","51.397774","Slight","1","Croydon","30","A","1"
"2023010419795","-0.039934","51.672129","Slight","1","Enfield","30","Unclassified","1"
"2023010419803","-0.139034","51.57568","Slight","1","Haringey","20","Unclassified","1"
"2023010419810","-0.100742","51.349369","Slight","1","Croydon","20","Unclassified","1"
"2023010419818","-0.332566","51.597248","Slight","1","Harrow","30","C","1"
"2023010419819","-0.174381","51.629595","Slight","1","Barnet","30","A","1"
"2023010419820","-0.063403","51.612197","Slight","1","Enfield","20","Unclassified","1"
"2023010419825","-0.376873","51.513882","Serious","1","Ealing","20","Unclassified","1"
"2023010419830","0.172871","51.58655","Slight","2","Havering","30","A","1"
"2023010419831","-0.08245","51.427326","Slight","1","Southwark","20","Not at junction or within 20 metres","1"
"2023010419836","-0.158481","51.632611","Slight","1","Barnet","20","Unclassified","1"
"2023010419847","-0.184195","51.607806","Slight","1","Barnet","30","Unclassified","1"
"2023010419849","-0.1977","51.415324","Slight","1","Merton","30","A","1"
"2023010419851","-0.064947","51.483405","Serious","1","Southwark","30","B","1"
"2023010419861","-0.111582","51.479588","Serious","1","Lambeth","20","Unclassified","1"
"2023010419862","-0.160708","51.434758","Slight","1","Wandsworth","20","A","1"
"2023010419863","-0.221105","51.546891","Slight","1","Brent","30","C","1"
"2023010419865","-0.148506","51.47854","Slight","1","Wandsworth","20","Unclassified","1"
"2023010419866","-0.081589","51.635786","Serious","1","Enfield","30","Not at junction or within 20 metres","1"
"2023010419867","-0.008411","51.55421","Slight","1","Waltham Forest","50","Not at junction or within 20 metres","1"
"2023010419871","-0.023119","51.518408","Slight","1","Tower Hamlets","20","C","1"
"2023010419877","-0.052303","51.635313","Slight","1","Enfield","30","Unclassified","1"
"2023010419880","-0.015506","51.463406","Slight","1","Lewisham","30","Unclassified","1"
"2023010419884","0.227143","51.500163","Serious","1","Havering","50","Not at junction or within 20 metres","1"
"2023010419888","-0.378507","51.470292","Slight","1","Hounslow","30","A","1"
"2023010419892","-0.125252","51.56199","Serious","1","Islington","20","Unclassified","1"
"2023010419895","-0.217028","51.531281","Slight","1","Brent","30","Not at junction or within 20 metres","1"
"2023010419908","-0.008104","51.503442","Slight","1","Tower Hamlets","20","Unclassified","1"
"2023010419925","-0.014127","51.601806","Slight","1","Waltham Forest","20","Unclassified","1"
"2023010419936","0.098555","51.374764","Slight","1","Bromley","30","Unclassified","1"
"2023010419937","-0.175283","51.630167","Serious","1","Barnet","30","A","1"
"2023010419946","-0.18887","51.595559","Serious","2","Barnet","30","Unclassified","1"
"2023010419949","-0.131205","51.427214","Slight","1","Lambeth","20","C","1"
"2023010419952","-0.066554","51.514851","Slight","1","Tower Hamlets","20","C","1"
"2023010419956","-0.091033","51.504029","Slight","1","Southwark","20","Not at junction or within 20 metres","1"
"2023010419958","0.068645","51.479685","Slight","1","Greenwich","30","Unclassified","1"
"2023010419961","-0.176482","51.431731","Slight","1","Wandsworth","20","Unclassified","1"
"2023010419964","-0.076852","51.614181","Serious","2","Enfield","50","Not at junction or within 20 metres","1"
"2023010419967","-0.374643","51.454637","Slight","1","Richmond upon Thames","30","Unclassified","1"
"2023010419972","-0.002477","51.47197","Serious","1","Lewisham","30","Unclassified","1"
"2023010419974","-0.275348","51.536218","Slight","1","Brent","30","Not at junction or within 20 metres","1"
"2023010419977","-0.355109","51.470712","Slight","1","Hounslow","30","C","1"
"2023010419981","-0.070308","51.589012","Slight","1","Haringey","20","A","1"
"2023010419982","0.183924","51.5738","Slight","1","Havering","30","Not at junction or within 20 metres","1"
"2023010419987","-0.206547","51.512552","Slight","1","Kensington and Chelsea","20","C","1"
"2023010419990","-0.108521","51.485698","Slight","1","Lambeth","30","A","1"
"2023010419993","-0.386637","51.538979","Slight","3","Ealing","30","Not at junction or within 20 metres","1"
"2023010419994","-0.042449","51.667144","Slight","1","Enfield","30","Unclassified","1"
"2023010419995","-0.150983","51.543316","Slight","1","Camden","20","Not at junction or within 20 metres","1"
"2023010419998","-0.070723","51.588398","Slight","1","Haringey","30","B","1"
"2023010420004","-0.014042","51.348462","Slight","3","Croydon","30","Unclassified","1"
"2023010420005","-0.173326","51.524485","Slight","1","Westminster","20","Not at junction or within 20 metres","1"
"2023010420013","-0.054354","51.632613","Slight","1","Enfield","30","Unclassified","1"
"2023010420014","-0.080703","51.531063","Serious","1","Hackney","20","Unclassified","1"
"2023010420016","-0.198036","51.597085","Slight","1","Barnet","30","A","1"
"2023010420018","-0.160082","51.594824","Serious","1","Haringey","30","Unclassified","1"
"2023010420019","-0.074792","51.551577","Slight","1","Hackney","20","Unclassified","1"
"2023010420020","-0.283128","51.376797","Slight","1","Kingston upon Thames","30","Unclassified","1"
"2023010420024","-0.178743","51.412846","Serious","1","Merton","20","Unclassified","1"
"2023010420025","-0.407775","51.517111","Slight","1","Hillingdon","30","Unclassified","1"
"2023010420027","-0.34302","51.542462","Slight","2","Ealing","20","C","1"
"2023010420028","-0.206528","51.444767","Slight","1","Wandsworth","20","C","1"
"2023010420030","0.009486","51.433879","Slight","1","Lewisham","20","C","1"
"2023010420032","-0.016837","51.451297","Serious","1","Lewisham","20","Not at junction or within 20 metres","1"
"2023010420034","-0.365295","51.581252","Slight","1","Harrow","30","C","1"
"2023010420037","0.083521","51.461661","Serious","1","Bexley","30","Not at junction or within 20 metres","1"
"2023010420038","-0.384013","51.472175","Slight","1","Hounslow","30","C","1"
"2023010420039","-0.197549","51.497361","Slight","1","Kensington and Chelsea","20","Unclassified","1"
"2023010420041","-0.068074","51.462224","Slight","1","Southwark","20","Unclassified","1"
"2023010420044","-0.452353","51.495874","Slight","4","Hillingdon","30","Motorway","1"
"2023010420050","0.011452","51.407227","Slight","1","Bromley","30","A","1"
"2023010420055","0.002094","51.580883","Slight","3","Waltham Forest","30","Unclassified","1"
"2023010420058","-0.049169","51.646708","Slight","1","Enfield","30","Not at junction or within 20 metres","1"
"2023010420059","-0.060377","51.514713","Slight","1","Tower Hamlets","20","Unclassified","1"
"2023010420060","-0.148297","51.364852","Slight","1","Sutton","30","Not at junction or within 20 metres","1"
"2023010420064","-0.176565","51.622705","Slight","1","Barnet","30","Unclassified","1"
"2023010420065","-0.053695","51.391079","Slight","1","Croydon","20","Not at junction or within 20 metres","1"
"2023010420066","0.124687","51.531516","Slight","1","Barking and Dagenham","40","Not at junction or within 20 metres","1"
"2023010420068","-0.035621","51.434482","Slight","1","Lewisham","30","Unclassified","1"
"2023010420073","-0.114575","51.470562","Slight","1","Lambeth","20","Unclassified","1"
"2023010420080","-0.272771","51.468665","Slight","1","Richmond upon Thames","20","Unclassified","1"
"2023010420081","-0.284311","51.5126","Slight","1","Ealing","20","Unclassified","1"
"2023010420083","-0.093543","51.597449","Serious","1","Haringey","30","Unclassified","1"
"2023010420088","0.022379","51.593701","Fatal","1","Redbridge","30","Unclassified","1"
"2023010420093","0.039835","51.593075","Slight","1","Redbridge","40","Not at junction or within 20 metres","1"
"2023010420094","-0.241722","51.613268","Slight","1","Barnet","50","Not at junction or within 20 metres","1"
"2023010420095","-0.181938","51.430557","Slight","1","Wandsworth","20","Not at junction or within 20 metres","1"
"2023010420102","-0.132","51.44193","Slight","1","Lambeth","20","Unclassified","1"
"2023010420103","-0.104495","51.507053","Slight","1","Southwark","30","A","1"
"2023010420106","-0.134897","51.488773","Serious","1","Westminster","20","C","1"
"2023010420110","-0.287204","51.50231","Slight","1","Ealing","30","Unclassified","1"
"2023010420115","-0.156501","51.450618","Slight","1","Wandsworth","20","Unclassified","1"
"2023010420119","-0.039998","51.590883","Slight","1","Waltham Forest","20","Unclassified","1"
"2023010420121","-0.140495","51.594695","Slight","1","Haringey","20","Unclassified","1"
"2023010420122","-0.130548","51.464811","Slight","1","Lambeth","20","Unclassified","1"
"2023010420123","-0.069383","51.594473","Slight","1","Haringey","20","Not at junction or within 20 metres","1"
"2023010420137","-0.204808","51.497041","Slight","1","Kensington and Chelsea","20","A","1"
"2023010420139","-0.07032","51.537943","Slight","1","Hackney","20","Unclassified","1"
"2023010420140","-0.096741","51.372452","Serious","1","Croydon","30","C","1"
"2023010420142","-0.133728","51.586836","Slight","1","Haringey","30","Unclassified","1"
"2023010420144","-0.27455","51.556556","Slight","1","Brent","20","Unclassified","1"
"2023010420145","0.066462","51.49288","Slight","1","Greenwich","30","Unclassified","1"
"2023010420150","-0.175162","51.542022","Slight","1","Camden","30","A","1"
"2023010420156","-0.324136","51.538741","Slight","1","Ealing","20","Unclassified","1"
"2023010420159","-0.123481","51.449312","Slight","1","Lambeth","30","C","1"
"2023010420162","-0.001852","51.541608","Slight","1","Newham","20","Not at junction or within 20 metres","1"
"2023010420163","-0.326825","51.509824","Serious","1","Ealing","20","Unclassified","1"
"2023010420164","-0.08554","51.493787","Slight","1","Southwark","30","Not at junction or within 20 metres","1"
"2023010420170","-0.103116","51.565572","Slight","1","Haringey","30","Unclassified","1"
"2023010420172","0.07639","51.54712","Slight","1","Redbridge","30","Unclassified","1"
"2023010420176","-0.440129","51.480902","Slight","1","Hillingdon","50","A","1"
"2023010420178","-0.098141","51.575519","Slight","1","Haringey","20","B","1"
"2023010420180","-0.161723","51.410539","Slight","1","Merton","20","Not at junction or within 20 metres","1"
"2023010420192","-0.114046","51.536775","Serious","1","Islington","20","C","1"
"2023010420193","-0.0357","51.524833","Slight","1","Tower Hamlets","30","Not at junction or within 20 metres","1"
"2023010420194","-0.048203","51.531121","Slight","1","Tower Hamlets","20","Unclassified","1"
"2023010420197","-0.206644","51.549719","Slight","1","Camden","20","Unclassified","1"
"2023010420198","-0.076275","51.378763","Slight","1","Croydon","30","Not at junction or within 20 metres","1"
"2023010420200","-0.192904","51.488747","Serious","1","Kensington and Chelsea","20","A","1"
"2023010420203","0.067657","51.576545","Slight","2","Redbridge","30","A","1"
"2023010420205","0.253473","51.616415","Slight","2","Havering","70","Not at junction or within 20 metres","1"
"2023010420209","-0.061569","51.622014","Slight","1","Enfield","30","Unclassified","1"
"2023010420212","-0.063664","51.574145","Slight","1","Hackney","20","Unclassified","1"
"2023010420215","-0.276956","51.608539","Serious","1","Harrow","30","Unclassified","1"
"2023010420218","-0.412101","51.512485","Slight","1","Hillingdon","20","Unclassified","1"
"2023010420219","-0.1762","51.373743","Slight","1","Sutton","30","Unclassified","1"
"2023010420240","-0.252439","51.539521","Slight","1","Brent","30","Unclassified","1"
"2023010420241","0.153153","51.457012","Slight","2","Bexley","30","Unclassified","1"
"2023010420242","-0.318801","51.510942","Slight","2","Ealing","20","Unclassified","1"
"2023010420244","-0.051545","51.513982","Slight","1","Tower Hamlets","30","Not at junction or within 20 metres","1"
"2023010420246","-0.377079","51.542956","Slight","1","Ealing","20","A","1"
"2023010420247","-0.012478","51.511205","Slight","1","Tower Hamlets","20","Unclassified","1"
"2023010420248","-0.388701","51.464569","Slight","1","Hounslow","20","Unclassified","1"
"2023010420251","-0.084698","51.426536","Slight","1","Lambeth","20","Unclassified","1"
"2023010420256","-0.360251","51.516447","Serious","1","Ealing","20","Unclassified","1"
"2023010420260","-0.084441","51.558102","Slight","1","Hackney","20","Not at junction or within 20 metres","1"
"2023010420262","-0.206032","51.508057","Serious","1","Kensington and Chelsea","30","Unclassified","1"
"2023010420276","-0.112344","51.482064","Slight","1","Lambeth","20","A","1"
"2023010420287","-0.13323","51.516201","Slight","1","Westminster","20","Not at junction or within 20 metres","1"
"2023010420288","-0.398813","51.556465","Slight","1","Hillingdon","30","C","1"
"2023010420290","-0.280916","51.562179","Slight","1","Brent","30","Unclassified","1"
"2023010420294","-0.099058","51.366806","Slight","1","Croydon","30","Unclassified","1"
"2023010420299","0.097243","51.520391","Slight","1","Barking and Dagenham","30","Not at junction or within 20 metres","1"
"2023010420306","-0.106943","51.538027","Serious","1","Islington","20","Unclassified","1"
"2023010420314","0.067787","51.562883","Slight","1","Redbridge","30","Unclassified","1"
"2023010420328","-0.258671","51.515649","Slight","1","Ealing","20","Not at junction or within 20 metres","1"
"2023010420334","-0.357204","51.469725","Serious","1","Hounslow","20","A","1"
"2023010420336","-0.30444","51.513082","Slight","1","Ealing","30","B","1"
"2023010420352","-0.179992","51.459609","Slight","1","Wandsworth","20","A","1"
"2023010420353","0.02185","51.518684","Slight","1","Newham","20","Not at junction or within 20 metres","1"
"2023010420354","-0.172695","51.524421","Serious","1","Westminster","20","Unclassified","1"
"2023010420358","-0.195903","51.540122","Slight","1","Brent","20","Unclassified","1"
"2023010420364","-0.131737","51.529082","Slight","1","Camden","20","Not at junction or within 20 metres","1"
"2023010420374","0.250574","51.558961","Slight","1","Havering","20","Not at junction or within 20 metres","1"
"2023010420375","-0.202361","51.456681","Slight","1","Wandsworth","20","A","1"
"2023010420376","-0.133211","51.514897","Slight","1","Westminster","20","Unclassified","1"
"2023010420378","0.05249","51.390229","Slight","1","Bromley","30","Unclassified","1"
"2023010420380","-0.037483","51.475619","Slight","1","Lewisham","30","Not at junction or within 20 metres","1"
"2023010420383","0.051452","51.449267","Slight","1","Greenwich","20","Unclassified","1"
"2023010420388","-0.214517","51.525074","Slight","1","Kensington and Chelsea","20","Unclassified","1"
"2023010420397","-0.062902","51.518388","Serious","1","Tower Hamlets","20","B","1"
"2023010420403","-0.210843","51.55517","Slight","1","Camden","30","Unclassified","1"
"2023010420406","-0.193877","51.387883","Slight","1","Merton","30","B","1"
"2023010420407","-0.183529","51.463692","Slight","1","Wandsworth","20","Unclassified","1"
"2023010420408","-0.103656","51.44741","Slight","1","Lambeth","20","Unclassified","1"
"2023010420413","0.026133","51.544042","Serious","1","Newham","30","Unclassified","1"
"2023010420423","-0.048381","51.638809","Slight","1","Enfield","30","Not at junction or within 20 metres","1"
"2023010420425","-0.069534","51.593972","Serious","1","Haringey","30","A","1"
"2023010420426","0.011725","51.377735","Slight","1","Bromley","30","Unclassified","1"
"2023010420429","-0.096751","51.489563","Slight","1","Southwark","20","A","1"
"2023010420430","0.01649","51.464209","Slight","1","Greenwich","30","Unclassified","1"
"2023010420433","0.249686","51.557351","Slight","1","Havering","30","Unclassified","1"
"2023010420437","0.124889","51.345826","Serious","1","Bromley","30","Unclassified","1"
"2023010420438","-0.32424","51.537861","Slight","1","Ealing","20","Unclassified","1"
"2023010420439","-0.038457","51.581415","Slight","1","Waltham Forest","20","Unclassified","1"
"2023010420443","-0.078948","51.68834","Slight","1","Enfield","70","Not at junction or within 20 metres","1"
"2023010420444","-0.128488","51.433151","Slight","1","Lambeth","30","Not at junction or within 20 metres","1"
